date,title
2021年11月22日,12/16（木）19時【無料・オンライン】Ruby on Rails講座 ＜問合せフォームを作ろう＞
2021年11月17日,年内ラスト!12/17(金)ゼロからはじめる機械学習講座「Kaggleに挑戦」
2021年11月15日,【フランチャイズ募集】プログラミングスクール運営のすすめ（12/11 17:00 オンライン講座）
2021年11月5日,【11/26（金）】ゼロからはじめる機械学習「実践ビジネスデータ分析」(テックジムオープン講座)
2021年11月2日,隔週土曜開催【無料オンライン】さくっと業務改善・GAS講座「メルマガスタンドを作ろう」
2021年10月28日,【名古屋・大須/無料】ゼロからはじめるPythonプログラミング入門講座
2021年10月27日,【11/24（水）】ピザナイトを開催します。（東京本校）
2021年10月9日,【無料オンライン】ゼロから始めるPythonプログラミング入門講座（週5開催）
2021年8月1日,8/31【無料・動画講座】ちょこっと副業のためのRuby on Rails入門講座「ゼロからアプリケーションを作成しよう」
